group_id,id,name,year_of_study,experience_level,hackathons_done,preferred_role,objective,friend_registration,preferred_team_size,Saturday afternoon,Sunday afternoon,Saturday night,Sunday morning,Saturday morning,C++,IoT,IoT,React Native,Data Analysis,UI/UX,Git,Design,Design,Go,Android Development,iOS Development,JavaScript,Blockchain,Blockchain,Java,Python,postgresql,MongoDB,Docker,PostgreSQL,TypeScript,Natural Language Processing,SQL,Agile,React,typescript,PyTorch,Data Visualization,DevOps,DevOps,AWS/Azure/GCP,Figma,HTML/CSS,design,Computer Vision,Machine Learning,Flutter,TensorFlow,Data,Rust,Flask,Catalan,English,French,German,Italian,Portuguese,Spanish,AR/VR,Blockchain,Blockchain,Communication,Cybersecurity,Databases,Design,Design,DevOps,DevOps,E-commerce/Retail,Education,Enterprise,Fintech,Gaming,Health,IoT,IoT,Life Hacks,Machine Learning/AI,Mobile,Music/Art,Productivity,Quantum,Robotic Process Automation,Social Good,Voice skills,Web,group_common_features
1,74425515-a7ef-4ca9-a8e4-ab0c0c086ace,Paloma García Sánchez,4,2,2,3,2,['d9c40299-abd9-4b2f-bdcc-5e45f0e19ffc'],4,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,1,1,0,0,0,0,Spanish; Saturday morning; Saturday afternoon; Saturday night; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Machine Learning/AI; DevOps
1,d9c40299-abd9-4b2f-bdcc-5e45f0e19ffc,Luz Elena Sawyer,1,1,2,5,1,['74425515-a7ef-4ca9-a8e4-ab0c0c086ace'],2,1,1,1,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Spanish; Saturday morning; Saturday afternoon; Saturday night; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Machine Learning/AI; DevOps
2,2714f037-8b93-4606-8be1-6d90f0a1a370,Alessandra Rivera,4,3,4,2,1,['e51c17b6-2f8e-472f-a42e-beafe439e376'],4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,0,0,0,7,0,0,0,6,0,6,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,English; Spanish; Saturday morning; Saturday afternoon; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Enterprise; Social Good; DevOps
2,e51c17b6-2f8e-472f-a42e-beafe439e376,Pilar Cristina Fletcher,3,2,3,3,1,['2714f037-8b93-4606-8be1-6d90f0a1a370'],1,1,1,0,1,1,0,3,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,1,0,0,1,0,0,English; Spanish; Saturday morning; Saturday afternoon; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Enterprise; Social Good; DevOps
3,2c76459d-de2a-4e61-b420-9520260fdf41,Aurora Camila Fonseca,3,2,1,1,1,"['54b717da-af5a-4222-9a2f-eb868008193a', '93a7f8b1-a901-40e9-89b3-4a0e6b3355cf']",4,1,1,1,1,1,0,0,0,0,0,0,7,0,1,4,0,0,0,6,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,English; Saturday afternoon; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
3,93a7f8b1-a901-40e9-89b3-4a0e6b3355cf,Alessia Lane,4,3,8,3,1,"['54b717da-af5a-4222-9a2f-eb868008193a', '2c76459d-de2a-4e61-b420-9520260fdf41']",2,1,1,0,0,0,0,8,0,0,0,6,0,0,0,9,4,6,8,0,0,6,0,0,9,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,0,1,0,0,0,0,0,1,1,1,1,English; Saturday afternoon; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
3,54b717da-af5a-4222-9a2f-eb868008193a,Sofia Santamaria García,2,1,1,5,1,"['93a7f8b1-a901-40e9-89b3-4a0e6b3355cf', '2c76459d-de2a-4e61-b420-9520260fdf41']",4,1,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,English; Saturday afternoon; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
4,b8d50918-f0b5-4452-aae3-c097eafd99ab,Sophia Patel,2,2,2,4,1,"['ae5a6bbe-8911-4195-9589-4ce25d6ddc8e', '725b1704-4da0-423d-b51a-b465f2a41906']",3,1,1,1,1,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,7,0,6,0,0,0,0,5,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Saturday morning; Saturday afternoon; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
4,725b1704-4da0-423d-b51a-b465f2a41906,Ana Isabel Serraño.,2,2,5,3,1,"['ae5a6bbe-8911-4195-9589-4ce25d6ddc8e', 'b8d50918-f0b5-4452-aae3-c097eafd99ab']",4,1,1,0,1,1,0,0,1,0,0,4,0,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Saturday morning; Saturday afternoon; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
4,ae5a6bbe-8911-4195-9589-4ce25d6ddc8e,Alicia Riera García,3,2,3,2,1,"['725b1704-4da0-423d-b51a-b465f2a41906', 'b8d50918-f0b5-4452-aae3-c097eafd99ab']",4,1,1,1,1,1,0,7,0,0,6,0,3,0,0,0,7,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,Saturday morning; Saturday afternoon; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; DevOps
5,fcee953a-30c6-475a-b65c-ec49223281e9,Sophia Estrada,2,2,5,4,1,"['57853d67-cc16-4168-8a06-6ac01544d9d0', 'cbbd8e4f-11b4-4465-8772-9855c1f87164']",2,1,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,6,7,0,0,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,English; Saturday morning; Saturday afternoon; Saturday night; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; E-commerce/Retail; DevOps
5,57853d67-cc16-4168-8a06-6ac01544d9d0,Lena Braunstein Martín.,2,2,2,3,1,"['cbbd8e4f-11b4-4465-8772-9855c1f87164', 'fcee953a-30c6-475a-b65c-ec49223281e9']",4,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,5,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,English; Saturday morning; Saturday afternoon; Saturday night; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; E-commerce/Retail; DevOps
5,cbbd8e4f-11b4-4465-8772-9855c1f87164,River Paige Winchester,5,3,9,1,1,"['57853d67-cc16-4168-8a06-6ac01544d9d0', 'fcee953a-30c6-475a-b65c-ec49223281e9']",3,1,1,1,0,1,0,6,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,4,7,0,0,0,0,0,5,0,5,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,English; Saturday morning; Saturday afternoon; Saturday night; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; E-commerce/Retail; DevOps
6,ddc24869-63e6-4ed7-8f99-8101b1a3190c,Lena Victoria Flynn,2,2,2,5,1,['d95659ab-ee99-45a2-bfc1-aca8bfca4359'],4,1,1,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,4,7,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,1,1,1,0,0,0,0,0,0,0,English; Saturday afternoon; Saturday night; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Gaming; Machine Learning/AI; DevOps
6,8a354d53-8533-4a75-96d9-5fb93ce2019d,Alessia Victoria Langley,1,1,1,5,1,[],4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,English; Saturday afternoon; Saturday night; Sunday morning; Sunday afternoon; hackathons_done; experience_level; preferred_role; year_of_study; Gaming; Machine Learning/AI; DevOps
